# Artifacts
cot_artifact_1 = { country_diplomatic_power = 1 development_cost = -0.025 } # Helmet
cot_artifact_2 = { country_admin_power = 1 development_cost = -0.025 } # Chestplate
cot_artifact_3 = { country_military_power = 1 development_cost = -0.025 } # Gauntlets
cot_artifact_4 = { movement_speed = 0.1 development_cost = -0.025 } # Greaves
cot_artifact_5 = { land_attrition = -0.5 development_cost = -0.025 } # Cloak
cot_artifact_6 = { fire_damage_received = -0.05 shock_damage_received = -0.05 development_cost = -0.025 } # Shield
cot_artifact_7 = { shock_damage = 0.1 development_cost = -0.025 } # Axe

cot_blessing_of_elkaesal_1 = {
    country_admin_power = 1
	country_diplomatic_power = 1
	country_military_power = 1
	movement_speed = 0.1
	global_manpower_modifier = 0.2
	shock_damage_received = -0.05
	fire_damage_received = -0.05
	infantry_shock = 0.15
	cavalry_shock = 0.15
	artillery_shock = 0.15
	development_cost = -0.025
}

cot_blessing_of_elkaesal_2 = {
    country_admin_power = 1
	country_diplomatic_power = 1
	country_military_power = 1
	movement_speed = 0.1
	global_manpower_modifier = 0.2
	shock_damage_received = -0.05
	fire_damage_received = -0.05
	infantry_shock = 0.25
	cavalry_shock = 0.25
	artillery_shock = 0.25
	development_cost = -0.025
}

cot_blessing_of_elkaesal_3 = {
    country_admin_power = 1
	country_diplomatic_power = 1
	country_military_power = 1
	movement_speed = 0.1
	global_manpower_modifier = 0.2
	shock_damage_received = -0.05
	fire_damage_received = -0.05
	infantry_shock = 0.33
	cavalry_shock = 0.33
	artillery_shock = 0.33
	development_cost = -0.025
}

cot_blessing_of_elkaesal_4 = {
    country_admin_power = 1
	country_diplomatic_power = 1
	country_military_power = 1
	movement_speed = 0.1
	global_manpower_modifier = 0.2
	shock_damage_received = -0.05
	fire_damage_received = -0.05
	infantry_shock = 0.5
	cavalry_shock = 0.5
	artillery_shock = 0.5
	development_cost = -0.025
}
