cot_swedish_dig = {
	trigger_switch = {
		on_trigger = has_province_modifier
		
		cot_eldrialum_0 = { remove_province_modifier = cot_eldrialum_0 add_province_modifier = { name = cot_eldrialum_1 duration = -1 } }
		cot_eldrialum_1 = { remove_province_modifier = cot_eldrialum_1 add_province_modifier = { name = cot_eldrialum_2 duration = -1 } }
		cot_eldrialum_2 = { remove_province_modifier = cot_eldrialum_2 add_province_modifier = { name = cot_eldrialum_3 duration = -1 } }
		cot_eldrialum_3 = { remove_province_modifier = cot_eldrialum_3 add_province_modifier = { name = cot_eldrialum_4 duration = -1 } }
		cot_eldrialum_4 = { remove_province_modifier = cot_eldrialum_4 add_province_modifier = { name = cot_eldrialum_5 duration = -1 } }
		cot_eldrialum_5 = { remove_province_modifier = cot_eldrialum_5 add_province_modifier = { name = cot_eldrialum_6 duration = -1 } center_of_trade = 1 }
		cot_eldrialum_6 = { remove_province_modifier = cot_eldrialum_6 add_province_modifier = { name = cot_eldrialum_7 duration = -1 } }
		cot_eldrialum_7 = { remove_province_modifier = cot_eldrialum_7 add_province_modifier = { name = cot_eldrialum_8 duration = -1 } }
		cot_eldrialum_8 = { remove_province_modifier = cot_eldrialum_8 add_province_modifier = { name = cot_eldrialum_9 duration = -1 } }
		cot_eldrialum_9 = { remove_province_modifier = cot_eldrialum_9 add_province_modifier = { name = cot_eldrialum_10 duration = -1 } add_center_of_trade_level = 1 }
		cot_eldrialum_10 = { remove_province_modifier = cot_eldrialum_10 add_province_modifier = { name = cot_eldrialum_11 duration = -1 } }
		cot_eldrialum_11 = { remove_province_modifier = cot_eldrialum_11 add_province_modifier = { name = cot_eldrialum_12 duration = -1 } }
		cot_eldrialum_12 = { remove_province_modifier = cot_eldrialum_12 add_province_modifier = { name = cot_eldrialum_13 duration = -1 } }
		cot_eldrialum_13 = { remove_province_modifier = cot_eldrialum_13 add_province_modifier = { name = cot_eldrialum_14 duration = -1 } }
		cot_eldrialum_14 = { remove_province_modifier = cot_eldrialum_14 add_province_modifier = { name = cot_eldrialum_15 duration = -1 } add_center_of_trade_level = 1 }
		cot_eldrialum_15 = { remove_province_modifier = cot_eldrialum_15 add_province_modifier = { name = cot_eldrialum_16 duration = -1 } }
		cot_eldrialum_16 = { remove_province_modifier = cot_eldrialum_16 add_province_modifier = { name = cot_eldrialum_17 duration = -1 } }
		cot_eldrialum_17 = { remove_province_modifier = cot_eldrialum_17 add_province_modifier = { name = cot_eldrialum_18 duration = -1 } }
		cot_eldrialum_18 = { remove_province_modifier = cot_eldrialum_18 add_province_modifier = { name = cot_eldrialum_19 duration = -1 } }
		cot_eldrialum_19 = { remove_province_modifier = cot_eldrialum_19 add_province_modifier = { name = cot_eldrialum_20 duration = -1 } }
		cot_eldrialum_20 = { remove_province_modifier = cot_eldrialum_20 add_province_modifier = { name = cot_eldrialum_21 duration = -1 } }
		cot_eldrialum_21 = { remove_province_modifier = cot_eldrialum_21 add_province_modifier = { name = cot_eldrialum_22 duration = -1 } }
		cot_eldrialum_22 = { remove_province_modifier = cot_eldrialum_22 add_province_modifier = { name = cot_eldrialum_23 duration = -1 } }
		cot_eldrialum_23 = { remove_province_modifier = cot_eldrialum_23 add_province_modifier = { name = cot_eldrialum_24 duration = -1 } }
		cot_eldrialum_24 = { remove_province_modifier = cot_eldrialum_24 add_province_modifier = { name = cot_eldrialum_25 duration = -1 } }
		cot_eldrialum_25 = { remove_province_modifier = cot_eldrialum_25 add_province_modifier = { name = cot_eldrialum_26 duration = -1 } }
		cot_eldrialum_26 = { remove_province_modifier = cot_eldrialum_26 add_province_modifier = { name = cot_eldrialum_27 duration = -1 } }
		cot_eldrialum_27 = { remove_province_modifier = cot_eldrialum_27 add_province_modifier = { name = cot_eldrialum_28 duration = -1 } }
		cot_eldrialum_28 = { remove_province_modifier = cot_eldrialum_28 add_province_modifier = { name = cot_eldrialum_29 duration = -1 } }
		cot_eldrialum_29 = { remove_province_modifier = cot_eldrialum_29 add_province_modifier = { name = cot_eldrialum_30 duration = -1 } }
	}
}
